EAN;ORGANISATION;DEPARTMENT;
7601000256980;Dr med Jonas Paul Rickli;Produktiv;
7601002055581;Service psycho social;Produktiv;
7601000408228;Dr med Thomas Rohrbach;Produktiv;
7601002110891;labor team w ag;Produktiv;
7601000242891;Dr med Berhard  Waelti;Produktiv;
7601000486592;Dr med Brigitte Winzeler;Produktiv;
2099988870307;Temporary Ghost Account;Do not use without instruction;
7601002120296;Viollier AG;Produktiv;
7601000184504;Dr med Gianpiero Bolliger;Produktiv;
7601000232250;Dr med Petra Kappeler;Produktiv;
7601000120328;Dr med Daniella Bachmann;Produktiv;
7601000121196;Dr med Mario Uhr;Produktiv;
7601000369055;Dr med Donatella Domon;Produktiv;
7601000056924;Dr med Raffaella Pingitore;Produktiv;
7601000223876;Dr med Shabbir Hassam;Produktiv;
7601000003577;Dr med Ottavio Bernasconi;Produktiv;
7601000352583;Dr med Elke Hauser Brandenstein;Produktiv;
7601000246745;Dr med Jan Tuma;Produktiv;
7601000196170;Dr med Maja Bjelan;Produktiv;
7601000260727;Dr med Patrick Stanek;Produktiv;
7601000736321;Dr med Nicolas Vogel;Produktiv;
7601000416032;Dr med Philipp Fallscheer;Produktiv;
7601000355898;Dr med Nicola Pedrozzi;Produktiv;
7601002122252;Clinique La Metairie;Produktiv;
7601000045188;Dr med Emmanuelle Gimenez;Produktiv;
7601000167453;Dr med Roberto Pasqualetti;Produktiv;
7601000396303;Dr med Christophe Christ;Produktiv;
7601000169228;Dr med Peter Schoenbucher;Produktiv;
7601000486387;Dr med Janos Weber Varszegi;Produktiv;
7601002114721;Privatklinik Wyss AG;Produktiv;
7601000112392;Dr med Michael Enezian;Produktiv;
7601002124874;Dr med Clemens Della Pietra;Produktiv;
7601002095099;Ente Ospedaliero Cantonale;Produktiv;
7601003000184;Aquilana;Aquilana Produktiv;
7601002104319;Ilamed AG;Produktiv;
7601002055796;Universitaere Psychiatrische Kliniken;Produktiv;
7601000124494;Dr med Annemarie Haag Jordan;Produktiv;
7601000537232;Dr med Barbara Bulambo;Produktiv;
7601000173492;Dr med Gabor Kenesei;Produktiv;
7601000246714;Dr med Nina Tuma;Produktiv;
7601000110671;Dr med Joachim Nelles;Produktiv;
7601000218902;Dr med Peter Sutter;Produktiv;
7601001022324;Farmacia San Giorgio SA;Produktiv;
7601002000291;Hopital du Jura;Produktiv;
7601000275929;Dr med Christoph Wanger;Produktiv;
7601000221445;Dr med Marco Bonomo;Produktiv;
7601000094957;Dr med Bianca Regazzoni;Produktiv;
7601000233356;Dr med Constance Wahl;Produktiv;
7601000082466;Dr med Roland Wegmueller;Produktiv;
7601002110709;Schweizer Paraplegikerzentrum;Elektronische Abrechnung MediPort;
7601000176202;Dr med Ivo Lustenberger;Produktiv;
7601000110367;Dr med Stephan Henking;Produktiv;
7601000178510;Dr med Markus Risi;Produktiv;
7601000171689;Dr med Urban Mueller;Produktiv;
7601002056182;Dr phil Christian Hauser;Produktiv;
7601000441843;Dr med Patrick Siragusa;Produktiv;
7601000341808;Dr med Bruno Vettiger;Produktiv;
7601000515971;Dr med Margrit Stoll;Produktiv;
7601003001082;CSS Versicherung;Leistungs-Services;
7601002074834;LogoLab AG;EDI MediPort;
7601000186461;Dr med Marco Varini;Produktiv;
7601000243171;Dr med Martin Wirth;Produktiv;
7601000177377;Dr med Beatrice Goessi;Produktiv;
7601000146168;Dr med Verena Meier Hirschi;Produktiv;
7601000230669;Dr med Urs Jermann;Produktiv;
7601000354846;Dr med Beat Durschei;Produktiv;
7601001307056;Abraxas Informatik;Produktiv;
7601000081421;Dr med Rolf Imboden;Produktiv;
7601000094506;Dr med Meinrad Redli;Produktiv;
7601001005532;Farmacia di Gravesano;Produktiv;
7601000248114;Dr med Michael Bischoff;Produktv;
7601000196446;Dr med Christian Schlegel;Produktiv;
7601002117074;Pflegezentrum der Stadt Zuerich;Produktiv;
7601000211255;Dr med Jakob von Kaenel;Produktiv;
7601000108937;Dr med Konrad Michel;Produktiv;
7601000272317;Dr med Mladen Misic;Produktiv;
7601000255846;Dr med Beat Wenger;Produktiv;
7601000202161;Dr med Arthur Horovitz;Produktiv;
7601002097703;Sanacare Winterthur;Produktiv;
7601000194046;Dr med Christian Tscharner;Produktiv;
7601003005530;Gemeinsame Einrichtung KVG;Produktiv;
7601003000863;Krankenkasse Birchmeier;Produktiv;
7601000103154;Dr med Bernhard Koller;Produktiv;
7601002117319;Pflegezentrum Seeblick;Produktiv;
7601000541840;Dr med Antje Winkler;Produktiv;
7601000222343;Dr med Frank Oswald Wernli;Produktiv;
7601000202048;Dr med Ales Jan Fojtu;Produktiv;
7601000086136;Dr med Urs Boesch;Produktiv;
7601002056298;Rosenklinik am See;Produktiv;
7601003005523;Unfallversicherung Stadt Zürich;Produktiv;
7601000208828;Dr med Alfred Loehrer;Produktiv;
7601000220561;Dr med Daniel Guentert;Produktiv;
7601000372758;Dr med Rolf Risch;Produktiv;
7601003000290;Atupri Krankenkasse;Produktiv;
7601000709295;Dr med Martin Schoeni;Produktiv;
7601000366573;Dr med Ueli Lang;Produktiv;
7601000383532;Dr med Christoph Ehrat;Produktiv;
7601003001143;Agilia Krankenkasse AG;Produktiv;
7601000185631;Dr med Nestor Blandon;Produktiv;
7601000236265;Dr med Ernst Ryffel;Produktiv;
7601000217806;Dr med Andrea Cadotsch;Produktiv;
7601000537737;Dr med Margarete Meurice;Produktiv;
7601000162991;Dr med Thomas Hofer;Produktiv;
7601000080127;Dr med Marc Charles Sechaud;Produktiv;
7601000138828;Dr med Alexander Dieterle;Produktiv;
7601000271723;Dr med Gaby F Tanner;Produktiv;
7601000339898;Dr med Marc Hoppler;Produktiv;
7601000180216;Dr med Reto Rechsteiner;Produktiv;
7601000240675;Dr med Juerg Schlegel;Produktiv;
7601001377417;Farmacia Generoso SAGL;Produktiv;
7601000241115;Dr med Sabina Kenk;Produktiv;
7601000119599;Dr med Thomas Salm;Produktiv;
7601000242730;Dr med Tobias Ritzler;Produktiv;
7601000534965;Dr med Damian Schoebi;Produktiv;
7601000222862;Dr med Alexandra Meierhans;Produktiv;
7601000061416;Dr med Guido Schnyder;Produktiv;
7601000188038;Dr med Pietro Schianchi;Produktiv;
7601000155580;Dr med Vincent Pollak;Produktiv;
7601000171214;Dr med Monica Conrad Rueedi;Produktiv;
7601000705532;Dr med Alberto Molto;Produktiv;
7601000238559;Dr med Philippe Schneidinger;Produktiv;
7601002002042;Kantonsspital Laufen;Produktiv;
7601001026445;Pharmacie de l Abbaye;Produktiv;
7601002080941;Klinik SGM Langenthal;Produktiv;
7601000262004;Dr med Lenka Diggelmann Vlach;Produktiv;
7601000272850;Dr med Caroline Segert Rohner;Produktiv;
7601000221469;Dr med Urs Gassmann;Produktiv;
7601000184429;Dr med Renzo Rigotti;Produktiv;
7601000216595;Dr med Daniel Schlossberg;Produktiv;
7601000752291;Dr med Hans Kohler;Produktiv;
7601000248626;Dr med Stephen Tischhauser;Produktiv;
7601000058782;Dr med Dick John Matray;Produktiv;
7601000145321;Dr med Rolf Duennenberger;Produktiv;
7601000106292;Dr med Anita Wyss Aeberhardt;Produktiv;
7601000190147;Dr med Nicola Realini;Produktiv;
7601002055697;Centre medico psychologique enfants;Produktiv;
7601000637475;Dr med Michael F Bagattini;Produktiv;
7601000276247;Dr med Philippe Rossignon;Produktiv;
7601000350084;Dr med Irina Beryl Togni;Produktiv;
7601000178275;Dr med Luzius Tuor;Produktiv;
7601002000222;Kantonsspital Obwalden;Produktiv;
7601000184948;Dr med Giorgio Ferrario;Produktiv;
7601000151476;Dr med Krystyna Brochocka;Produktiv;
7601001301788;Ofac;EDI MediPort;
7601001371910;Nexus Schweiz GmbH;Produktiv;
7601000179906;Dr med Heinz Eberhard Furrer;Produktiv;
7601000063335;Dr Pierre Vulliemin;Produktiv;
7601000188205;Dr med Hans Neuenschwander;Produktiv;
7601002122597;MDZ Spital Uster;Produktiv;
7601000271426;Dr med Andres Oscar Uzeda;Produktiv;
7601000525109;Dr med Martin Josef Kaufmann;Produktiv;
7601000172310;Dr med Mark Albisser;Produktiv;
7601000148711;Dr med Ulrich Obrecht;Produktiv;
7601000180797;Dr med Marzio Roberti Maggiore;Produktiv;
7601000172679;Dr med Peter Ehrler;Produktiv;
7601000155634;Dr med Oliver job;Produktiv;
7601000052513;Dr med Paul Rwakabayiza;Produktiv;
7601000375957;Dr med Giuseppe Mossi;Produktiv;
7601000273000;Dr med Christoph Niederberger;Produktiv;
7601000174772;Dr med Bruno Dillier;Produktiv;
7601000148056;Dr med Adrian Burki;Produktiv;
7601000348364;Dr med Pietro L Abate;Produktiv;
7601002001410;Spital Zofingen;Produktiv;
7601000412447;Dr med Andreas Walch;Produktiv;
7601000271570;Dr med Renato Werndli;Produktiv;
7601002114585;Sanatorium Kilchberg;Produktiv;
7601000272522;Dr med Norbert Hilty;Produktiv;
7601000090942;Dr med Andreas Cerny;Produktiv;
2099988870611;Curabill AG - MediCash Empfaenger;Produktiv;
7601000265876;Dr med Kathrin Althaus;Prduktiv;
7601000247438;Dr med Andreas Muehlethaler;Produktiv;
7601000368751;Dr med Nicolas Abril;Produktiv;
7601000124463;Dr med Jiri Moucka;Produktiv;
7601003000078;Suva;Elektronischer Datenaustausch;
7601000256812;Dr med Urs Stampfli;Produktiv;
7601000535009;Dr med Bigna Infanger Damur;Produktiv;
7601000271952;Dr med Andrea Lautenschlager Pawlik;Produktiv;
7601000217707;Dr med Valentino Angehrn;Produktiv;
7601000106568;Dr med Hanspeter Kaeser;Produktiv;
7601001013964;Pharmacie de Florissant;Produktiv;
7601000271136;Dr med Tobias Altwegg;Produktiv;
7601000479174;Dr med Swantje Vaihinger;Produktiv;
7601000264039;Dr med Alfons Loher;Produktiv;
7601000236777;Dr med Robert Vuckovic;Produktiv;
7601000194268;Dr med Heidi Hochstrasser;Produktiv;
7601002097673;KSM Luzern;Produktiv;
7601000197924;Dr med Christoph Hofmann;Produktiv;
7601000087782;Dr med Reto Meuli Koch;Produktiv;
7601002004138;Reseau Sante Valais;Produktiv;
7601002056199;Stiftung Suchthilfe;Produktiv;
7601000037138;Dr med Christian Goy;Produktiv;
7601002098915;Medix Management;Produktiv;
7601003007077;Dr med Benjamin Hueskes;Produktiv;
7601000136862;Dr med Konrad Diem;Produktiv;
7601003000894;OEKK Graubuenden;Produktiv;
7601000353634;Dr med Thomas Jehle;Produktiv;
7601000197986;Dr med Peider Bezzola;Produktiv;
7601000079466;Dr med Conrad Kristol;Produktiv;
7601002001229;Psychiatrische Dienste;Produktiv;
7601000216465;Dr med Ingrid Wyler Brem;Produktiv;
7601002011662;Klinik Pallas AG;Produktiv;
7601000202529;Dr med Torricelli;Produktiv;
7601000124722;Dr med Ulrich Buser;Produktiv;
7601000269041;Dr med Eva Bures;Produktiv;
7601000271358;Dr med Christoph Schneider;Produktiv;
7601000272447;Dr med Egon Matt;Produktiv;
7601000229243;Dr med Adrian Mueller;Produktiv;
7601000266514;Dr med Hermann Etter;Produktiv;
7601000161901;Dr med Waldemar Komorek;Produktiv;
7601003002041;Swica Gesundheitsorganisation;Produktiv;
7601002002882;Spital Oberengadin;Produktiv;
7601000188953;Dr med Maria Grazia Canepa;Produktiv;
7601003000917;OEKK UVG;Produktiv;
7601000132901;Dr med Caroline Trutmann;Produktiv;
7601002126571;Luzerner Psychiatrie;Produktiv;
7601000737564;Dr med Gabriele Fetzer;Produktiv;
7601000259943;Dr med Patrick Bodmer;Produktiv;
7601000090775;Dr med Othmar Schwarzenbach;Produktiv;
7601002128018;mediX Notfallpraxis;Produktiv;
7601000735959;Dr med Andres Koweindl;Produktiv;
7601002117869;Ambulante Psychiatrische Dienste des Kt Zug;Produktiv;
7601000053404;Dr med Cristiano Bernasconi;Produktiv;
7601000192615;Dr med Hans Spescha;Produktiv;
7601000088062;Dr med Antonello Calderoni;Produktiv;
7601000505422;Dr med Barbara Hueberli;Produktiv;
7601000274762;Dr med Regula Honegger;Produktiv;
7601003000665;Krankenkasse Flaachtal;Produktiv;
7601002114608;Clinique de la Tour SA;Produktiv;
7601002002394;Hopital psychiatrique cantonal;Produktiv;
7601000200150;Dr med Urs Federspiel;Produktiv;
7601000115133;Dr med Eve Stockhammer;Produktiv;
7601000188885;Dr med Barbara Quadri;Produktiv;
7601000085603;Dr med Peter Wirz;Produktiv;
7601000272102;Dr med Thomas Andreas Warzinek;Produktiv;
7601000187246;Dr med Gea Besso Sgarbossa;Produktiv;
7601000126269;Dr med Juerg Beriger;Produktiv;
7601000186263;Dr med Antonio Rusca;Produktiv;
7601002000765;St Claraspital;Produktiv;
7601000151421;Dr med Haluk Aslan;Produktiv;
7601002114509;Zuercher RehaZentrum Wald;Produktiv;
7601001304253;Labor Dr Guentert;Produktiv;
7601000740564;Dr med Zdravka Torbica;Produktiv;
7601001304451;Istituto cant di patologia;Produktiv;
7601000095206;Dr med Vilma Stalder;Produktiv;
7601003002027;Wincare;IT Wincare Schaden EDI;
7601002114707;Hopital de la Tour;Produktiv;
7601000184924;Dr med Marco Ferrera;Produktiv;
7601000184771;Dr med Giuseppe Forni;Produktiv;
7601000223067;Dr med Katja Deseoe;Produktiv;
7601000181183;Dr med Desa Zanini;Produktiv;
7601000161697;Chirurgie Baerenhof;Produktiv;
7601000173027;Dr med Bruno Mueller Werth;Produktiv;
7601000247193;Dr med Rainer Hutterli;Produktiv;
7601000250452;Dr med Christoph Schenker;Produktiv;
7601000193025;Dr med Rico Rieder;Produktiv;
7601000268426;Dr med Philipp Hengstler;Produktiv;
7601000232915;Dr med Daniel Goessi;Produktiv;
7601000173195;Dr med Christian Schleich;Produktiv;
7601000487827;Dr med Ralf Schmid;Produktiv;
7601000160461;Dr med Markus Zeugin;Produktiv;
7601000088703;Dr med Silvano Vella;Produktiv;
7601000162106;Dr med Julia Broennimann;Produktiv;
7601000079428;Dr med Charles Broquet;Produktiv;
7601000246264;Dr med Pierre Oeggerli;Produktiv;
7601000196224;Dr med Jean Paul Juergens;Produktkiv;
7601000194213;Dr med Tarcisi Maissen;Produktiv;
7601000258601;Dr med Franz Linder;Produktiv;
7601002111034;Hopital de Lavaux a Cully;Produktiv;
7601000526342;Dr med Ioannis Botonakis;Produktiv;
7601000153487;Dr med Brigitta Krieger Wyler;Produktiv;
7601001370685;Kasse fuer PsychiaterInnen und PsychologInnen;Produktiv;
7601000225238;Direktion der Justiz und des Innern Informatik;Produktiv;
7601000751010;Dr med Johann Wary;Produktiv;
7601000458780;Dr med Agron Abrashi;Produktiv;
7601000111623;Dr med Niklaus Perreten;Produktiv;
7601000168320;Dr med Anne Karin Eigenmann;Produktiv;
7601000514349;Dr med Dragana Jakob Spasojevic;Produktiv;
7601000082404;Dr med Daniel Wirz;Produktiv;
7601000219473;Tagesklinik fuer Psychotherapie und Sozialpsych;Produktiv;
7601000476807;Dr med Thomas Buder;Produktiv;
7601000414588;Dr med Angelika Steinmann Feierabend;Produktiv;
7601000765888;Dr med Heidrun Zimprich;Produktiv;
7601000240668;Dr med Caspar Brunner;Produktiv;
7601000354570;Dr med Marcel Koenig;Produktiv;
7601001026230;Hicpharm SA;Produktiv;
7601000085207;Dr med Leonard Schaeffler;Produktiv;
7601000009357;Dr med Flavia Genta Guenther;Produktiv;
7601000156716;Dr med Marianne Koch;Produktiv;
7601000179814;Dr med Christian Rippmann;Produktiv;
7601000249203;Dr med Riccardo Stacchi;Produktiv;
7601002000628;Le resHO FHV;Produktiv;
7601002122115;swissana clinic schwerzenbach;Produktiv;
7601002117098;Pflegezentrum Gehrenholz;Produktiv;
7601002004404;Dr med Florence Cordani;Produktiv;
7601000721198;Dr med Marcus Matthias Maassen;Produktiv;
7601000540867;Dr med Elmar Veh;Produktiv;
7601000272232;Dr med Gisela Biedermann Jung;Produktiv;
7601000262486;Dr med Markus Haemmerle;Produktiv;
7601000650290;Dr med Stefan Schneider;Produktiv;
7601000358417;Dr med Barbara Wicki;Produktiv;
7601000479204;Dr med Laszlo Kis;Produktiv;
7601000087881;Dr med Andreas Barth;Produktiv;
7601000264893;Praxis Dr med Urs Kaiser;Produktiv;
7601000214850;Dr med Floersheim Shachar;Produktiv;
7601001377530;E-Bill;Produktiv;
7601000097149;Dr med Regina Mueller;Produktiv;
7601000223920;Dr med Atilla Louis Major;Produktiv;
7601000276001;Dr med Tomas Huluk;Produktiv;
7601000269386;Dr med Roberto Caluori;Produktiv;
7601000084101;Praxis  Stefano Berthold;MediPort;
7601000718761;Dr med Hartmut Kuck;Produktiv;
7601000241542;Dr med Thomas Mosimann;Produktiv;
7601000139740;Dr med Schlienger;Produktiv;
7601000719270;Dr med Gerold Eyrich;Produktiv;
7601000242389;Dr med Eva Eisner;Produktiv;
7601000268761;Dr med Heidi Martin;Produktiv;
7601000162366;Dr med Niklaus Deseoe;Produktiv;
2099988870833;Dr med Christoph Hofmann;Produktiv;
7601000742780;Dr med Cebrail Erbil;Produktiv;
7601000262943;Dr med Felix Boesch;Produktiv;
7601000066190;Dr med Raymond Berry;Produktiv;
7601000266163;Dr med Christian Baerlocher;Produktiv;
7601000245304;Dr med Flurin Thoeni;Produktiv;
7601001367166;Farmacia Loreto;Produktiv;
7601000272546;Dr med Bruno Walser;Produktiv;
7601001230064;Pharmacie de Chamoson;Produktiv;
7601000266491;Dr med Andreas Koehler;Produktiv;
7601000183088;Dr med Gabriele Toschini;Produktiv;
7601002097710;Sanacare Oerlikon;Produktiv;
7601000053237;Dr med Pascale Pache;Produktiv;
7601000248589;Dr med Jan Peter Jorisch;Produktiv;
7601002116985;Pflegezentrum Riesbach;Produktiv;
7601000169051;Dr med Adelheid Schneider;Produktiv;
7601000062864;Dr med Ladislav Sadecky;Produktiv;
7601000198365;Dr med Gihad Chebaro;Produktiv;
7601000192622;Dr med Hansjoerg Bhend;Produktiv;
7601000107626;Dr med Ronald Egger;Produktiv;
7601002107983;Praxis Bubenberg AG;Produktiv;
7601000355386;Dr med Raphael Nuber;Produktiv;
7601002082464;Laoratoires Bregnard;Produktiv;
7601001234062;Farmacia Ronchi L e figlio G;Produktiv;
7601000271396;Dr med Markus Hoefliger;Produktiv;
7601001369399;CIGES;Produktiv;
7601000087898;Dr med Beat Amsler;Produktiv;
7601000627599;Dr med Laurent Niksic;Produktiv;
7601003001174;Krankenkasse Stoffel;Produktiv;
7601000272645;Dr med Christian Vogt;Produktiv;
7601000435965;Dr med Mandana Peclard;Produktiv;
7601002114547;Clinique de Genolier;Produktiv;
7601000193919;Dr med Stephen Woolley;Produktiv;
7601000626776;Dr med Regula Rutz;Produktiv;
7601000495822;Dr med Christoph Loeschhorn;Produktiv;
7601000680044;Dr med Volker Assmann;Produktiv;
7601001369917;Pharmacie La Clef d Arve;Produktiv;
7601000181961;Dr med Francesco Madonia;Produktiv;
7601000358080;Dr med Peter Tomasi;Produktiv;
7601002117784;Association Appartenances;Produktiv;
7601002000710;Merian Iselin Spital;Produktiv;
7601000114433;Dr med Andrea Imahorn;Produktiv;
7601002114974;Privatklinik Bethanien;Produktiv;
7601002080446;Klinik Pyramide am See;Produktiv;
7601000257772;Dr med Ales Tilen;Produktiv;
7601000177759;Dr med Predrag Markovic;Produktiv;
7601001351615;Farmacia Solduno SA;Produktiv;
7601000252821;Dr med Irene Staetzler;Produktiv;
7601000269218;Dr med Andreas Hohl;Produktiv;
7601002002844;Ospedale Casa di cura della Bregaglia;Produktiv;
7601000173133;Dr med Armin Koch;Produktiv;
7601000253767;Dr med Max Konzelmann;Produktiv;
7601000148179;Dr med Janos Molnar;Produktiv;
7601000268778;Dr med Angelika Stahlkopf;Produktiv;
7601000727923;Dr med Lukas Andreas Flueckiger;Produktiv;
7601000224187;Dr med Milan Klenecky;Produktiv;
7601001021945;Farmacia Arcate AA;Produktiv;
7601003001891;sodalis Krankenversicherer;Produktiv;
7601000058614;Dr med Monique Savopol;Produktiv;
7601000272614;Dr med Anton Wille Thalmann;Produktiv;
7601000180810;Dr med Tiziano Zuend;Produktiv;
7601000260710;Dr med Theodor Leutenegger;Produktiv;
7601002108287;Dr med Markus Birrer;Produktiv;
7601000238061;Dr med Albert Schuele;Produktiv;
7601000618467;Dr med Hanna Bieri;Produktiv;
7601000440655;Dr med Daniela Messerli Gerhards;Produktiv;
7601000237651;Dr med Alfred Wassmer;Produktiv;
7601000256935;Dr med Andreas J Wuest;Produktiv;
7601002115353;Unilabs Mittelland;Produktiv;
7601000265807;Dr med Martin Hagen;Produktiv;
7601000246196;Dr med Heinz Blickenstorfer;Produktiv;
7601000240569;Dr med Niklaus Braendli;PProduktiv;
7601000262868;Dr med Heinz Wappler;Produktiv;
7601002110624;Medizinisches Pflegeheim des Seebezirks;Produktiv;
7601001355019;L Altra Farmacia;Produktiv;
7609999065408;H - Clearing AG;Produktiv;
7601001023758;Farmacia Ferrari;Produktiv;
2099988871267;Dr med Werner Trueb;Produktiv;
7601000216618;Dr med Frank Wyler-Brem;Produktiv;
7601000207197;Dr med Karl Zweifel;Produktiv;
7601001027404;Pharmacie des Philosophes;Produktiv;
7601000341815;Dr med Bruno Mueller;Produktiv;
7601003000924;EGK Gesundheitskasse;Produktiv;
7601002004190;HPE Hopital du Pays d Enhaut a Chateau d Oex FHV;Produktiv;
7601000248602;Dr med Atef Ismail;Produktiv;
7601000088819;Dr med Ernst Martin Lipp;Produktiv;
7601000060952;CIC Riviera SA;Produktiv;
7601003002423;Zuerich Versicherungs-Gesellschaft;Zuerich Schweiz DL-Zent ePartner;
7601000188670;Dr med Gianni Casanova;Produtkiv;
7601000736116;Dr med Ulrike Averdunk Gille;Produktiv;
7601000732323;Dr med Stefanie Schriever;Produktiv;
7601000623522;Dr med Brigitte Erni;Produktiv;
7601000104724;Dr med Andreas Wey;Produktiv;
7601000220035;Dr med Regula Ehrbar;Produktiv;
7601000254177;Dr med Claus Coester;Produktiv;
7601000199768;Dr med Norbert Satz;Produktiv;
7601000269799;Dr med Markus Gnaedinger;Produktiv;
7601000220752;Dr med Lueder Kaestner;Produktiv;
7601002001533;Kantonsspital Bruderholz;Produktiv;
7601001304338;Institut Dr Risch;Produktiv;
7601000140937;Dr med Anne Lise Lauffenburger;Produktiv;
7601000195616;Dr med Andreas Speiser;Produktiv;
7601000424808;Dr med Jan Huys;Produktiv;
7601000185488;Dr med Paola Bettelini;Produktiv;
7601002020589;Ospidal val Muestair;Produktiv;
7601000144393;Dr med Christoph Breuer;Produktiv;
7601000079374;Dr med Philippe Staubli;Produktiv;
7601000220431;Dr med Daria Wicki;Produktiv;
7601000600110;Dr med Urs Aebli;Produktiv;
7601000544780;Dr med Edgar Gopp;Produktiv;
7601002124010;Dr med Bertrand Baleydier;Produktiv;
7601000120694;Dr med Monique Wortelboer;Produktiv;
7601000219763;Dr med Corinne Staubli;Produktiv;
7601002003902;Clinica Luganese SA;Produktiv;
7601003000429;Publisana Krankenversicherung;Produktiv;
7601000184986;Dr med Valerio Camponovo;Produktiv;
7601000053602;Dr med Jean Marc Wandeler;Produktiv;
7601000196835;Dr med Walter Huber;Produktiv;
7601000271389;Dr med Ruedi Vetsch;Produktiv;
7601000163875;Dr med Markus Egolf;Produktiv;
7601000180711;Dr med Gabriele Dal Acqua;Produktiv;
7601000196644;Dr med Thomas Good;Produktiv;
7601000740779;Dr med Heiko Mendrik;Produktiv;
7601000199591;Dr med Pierre Dinner;Produktiv;
7601002116695;Hopital Riviera site de Mottex a Blonay FHV;Produktiv;
7601000365163;Dr med Semun Abdili;Produktiv;
7601000184870;Dr med Jean Oscar Meile;Produktiv;
7601001324985;GSLab Holding SA;Produktiv;
7601000412416;Dr med Yves Auf der Maur;Produktiv;
7601003002751;Centrale de compensation;Prestations en nature AVS-AI;
7601000254108;Dr med Wolfgang Schweizer;Produktiv;
7601000223753;Dr med Haidi Lorger;Produktiv;
7601000178329;Dr med Alexander Thuerlemann;Produktiv;
7601000207500;Prof Dr med Gerhard Ulrich Exner;Produktiv;
7601000197733;Dr med Nicola Lansel;Produktiv;
7601000184795;Dr med Gabriele Cereghetti;Produktiv;
7601000353658;Dr med Hansjoerg Schneider;Produktiv;
7601000215611;Dr med Juerg Aeschlimann;Produktiv;
7601000265197;Dr med Ralph Hollmann;Produktiv;
7601000271105;Dr med Walter Vetsch;Produktiv;
7601000105745;Dr med Christoph Zurbriggen;Produktiv;
7601000733092;Dr med Edzard Ellerkmann;Produktiv;
7601000708052;Dr med Viviane Stuber;Produktiv;
7601000241351;Direktion der Justiz und des Innern Informatik;Produktiv;
7601000180933;Dr med Daniele Toenz;Produktiv;
7601001373976;Stiftung Cerebral;Produktiv;
7601000090461;Dr med Raphael Kessler;Produktiv;
7601000115874;Dr med Etienne Coquoz;Produktiv;
7601000178886;Dr med Arthur Vogt;Produktiv;
7601000118769;Dr med Peter Schiller;Produktiv;
7601000180209;Dr med Hanspeter Regli;Produktiv;
7601000057051;Dr med Luc Aepli;Produktiv;
7601002002707;Zuercher RehaZentrum Davos;Produktiv;
7601000247568;Dr med Rudolf Niehus;Produktiv;
7601000239501;Dr med Clemens Sieber;Produktiv;
7601000163028;Dr med Michele Kuster;Produktiv;
7601000110954;Dr med Teslim Fidanoglu;Produktiv;
7601003001099;Concordia;Produktiv;
7601000746993;Dr med Raffaella Carnevale;Produktiv;
7601000271822;Dr med Anton Gehler;Produktiv;
7601001377745;Farmacia San Luigi;Produktiv;
7601000260758;Dr med Alena Fabian;Produktiv;
7601002108294;Clinique de La Source;Produktiv;
7601000130532;Dr med Mario Bozzolo;Produktiv;
7601000231567;Dr med Reto Pampaluchi;Produktiv;
7601000110008;Dr med Beat Pfaeffli;Produktiv;
7601002086455;Spital Buelach;Produktiv;
7601000144645;Dr med Alexander Wyttenbach;Produktiv;
